ID;RECEITA;TIPO_IMAGEM;FONTE;URL_IMAGEM
REC-0001;Doce de Leite sem Leite e sem Açúcar;ilustrativa_externa;https://www.amonicamachado.com/post/doce-de-leite-de-coco-vegano-sem-gl%C3%BAten-sem-leite-sem-ovos-e-sem-soja;https://static.wixstatic.com/media/10d341_b5fe9298a6da44b08cbb0cb45f8b1ba7~mv2_d_1527_1333_s_2.jpg/v1/fill/w_980%2Ch_855%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/10d341_b5fe9298a6da44b08cbb0cb45f8b1ba7~mv2_d_1527_1333_s_2.jpg
REC-0002;Doce de Leite sem Leite de Vaca;ilustrativa_externa;https://www.amonicamachado.com/post/doce-de-leite-de-coco-vegano-sem-gl%C3%BAten-sem-leite-sem-ovos-e-sem-soja;https://static.wixstatic.com/media/10d341_b5fe9298a6da44b08cbb0cb45f8b1ba7~mv2_d_1527_1333_s_2.jpg/v1/fill/w_980%2Ch_855%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/10d341_b5fe9298a6da44b08cbb0cb45f8b1ba7~mv2_d_1527_1333_s_2.jpg
REC-0003;Doce de Leite Ninho Zero Lactose e Zero Açúcar;ilustrativa_externa;https://teamodoce.com.br/recheio-de-leite-ninho/;https://teamodoce.com.br/wp-content/uploads/2025/02/recheio-de-leite-ninho.webp
REC-0004;Recheio de Leite Ninho;ilustrativa_externa;https://tamiresmota.com/recheio-irresistivel-de-ninho-cremoso-e-mousse-para-bolos-tortas-e-doces/;https://tamiresmota.com/wp-content/uploads/2024/10/recheio-mousse-de-ninho-para-bolos-tortas-e-doces-tamires-mota-4.jpg
REC-0005;Marrom Glacê de Batata Doce;ilustrativa_externa;https://www.tudogostoso.com.br/receita/303246-creme-facil-para-recheio-de-bolo.html;https://static.itdg.com.br/images/640-400/ebe17f9b3f6de8a62e5d01484f94dfed/creme-facil-para-recheio-de-bolo.jpg
REC-0006;Bolo de Milho Verde;ilustrativa_externa;https://www.agazeta.com.br/hz/gastronomia/confira-7-receitas-de-bolos-para-festa-junina-0624;https://www.netdeal.com.br/api/images/producao.spayce.com.br/1776103510624_2024_06_06_edicasebolo_de_milho_verde_imagem_estudiofcx_shutterstock_hd15ezud05.jpg
REC-0007;Bolacha de Coco;ilustrativa_externa;https://www.daninoce.com.br/receitas/biscoitinhos-de-coco/;https://www.daninoce.com.br/wp-content/uploads/2017/08/biscoitos-de-coco3.jpg
REC-0008;Pão do Val (Cascavel);ilustrativa_externa;https://focalizando.com.br/pao-caseiro-tradicional;https://focalizando.com.br/sites/default/files/inline-images/p%C3%A3o%20caseiro%20tradicional.jpg
REC-0009;Panetone com Pamix;ilustrativa_externa;https://receitatodahora.com.br/como-fazer-panetone-caseiro-que-fica-fofinho-e-nao-resseca-depois-de-pronto/;https://receitatodahora.com.br/wp-content/uploads/2024/11/panetone-caseiro-0611.jpg
REC-0010;Bolo de Rolo (Cascavel);ilustrativa_externa;https://www.terra.com.br/vida-e-estilo/degusta/receitas/bolo-simples-1-receita-que-faz-10-bolos-diferentes-pratico%2C66e7f81a0be8a82c56501dbdd940bc97nyymd6mj.html;https://p2.trrsf.com/image/fget/cf/500/0/images.terra.com/2024/02/16/863943157-bolo-caseiro-eeaeuwos.jpg
