ARQUIVO;STATUS;OBSERVACAO
1.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
10.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
11.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
12.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
13.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
14.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
15.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
16.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
17.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
19.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
21.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
22.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
23.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
24.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
3.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
30.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
31.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
4.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
5.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
6.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
7.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
8.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
9.jpg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7085.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7086.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7087.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7088.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7089.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7090.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7091.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7093.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7094.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7095.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7096.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7097.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7098.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7099.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7100.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7101.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7102.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
IMG_7103.jpeg;PARA_REVISAR;"Receita/página única provisória; verificar agrupamento final"
