ID V12.3;ID V12.4;Situação;Título V12.3;Título V12.4
REC-0078;REC-0078;MANTIDA;Pão de Forma (Doce/Salgado);Pão de Forma (Doce/Salgado)
REC-0079;REC-0079;MANTIDA;Quindim;Quindim
REC-0080;REC-0080;MANTIDA;Bolo de Iogurte Natural;Bolo de Iogurte Natural
REC-0081;REC-0081;MANTIDA;Fatias Húngaras / Rosca Estrela — Variante 2;Fatias Húngaras / Rosca Estrela — Variante 2
REC-0082;REC-0082;MANTIDA;Pão Caseiro Baguete;Pão Caseiro Baguete
REC-0083;REC-0083;MANTIDA;Torta Salgada;Torta Salgada
REC-0084;REC-0084;MANTIDA;Esfiha — Variante 2;Esfiha — Variante 2
REC-0085;REC-0085;MANTIDA;Sonho;Sonho
REC-0086;REC-0086;MANTIDA;Bolo de Mel e Chocolate;Bolo de Mel e Chocolate
REC-0087;REC-0087;MANTIDA;Recheio Creme Branco com Bombom;Recheio Creme Branco com Bombom
REC-0088;REC-0088;MANTIDA;Recheio de Chocolate Branco com Bombom;Recheio de Chocolate Branco com Bombom
REC-0089;REC-0089;MANTIDA;Recheio de Coco;Recheio de Coco
REC-0090;;EXCLUÍDA;Cobertura com Emulsificante — Variante 2;
REC-0091;;EXCLUÍDA;Recheio de Doce de Leite — Anotação Incompleta;
