ID V5;ID V6;Situação;Título V5;Título V6
REC-0001;REC-0001;MANTIDA;Doce de Leite sem Leite e sem Açúcar;Doce de Leite sem Leite e sem Açúcar
REC-0002;REC-0002;MANTIDA;Doce de Leite sem Leite de Vaca;Doce de Leite sem Leite de Vaca
REC-0003;REC-0003;MANTIDA;Doce de Leite Ninho Zero Lactose e Zero Açúcar;Doce de Leite Ninho Zero Lactose e Zero Açúcar
REC-0004;REC-0004;MANTIDA;Recheio de Leite Ninho;Recheio de Leite Ninho
REC-0005;REC-0005;MANTIDA;Marrom Glacê de Batata Doce;Marrom Glacê de Batata Doce
REC-0006;REC-0006;MANTIDA;Bolo de Milho Verde;Bolo de Milho Verde
REC-0007;REC-0007;MANTIDA;Bolacha de Coco;Bolacha de Coco
REC-0008;REC-0008;ALTERADA;Pão do Val (Cascavel);Pão do Sinval
REC-0009;REC-0009;MANTIDA;Panetone com Pamix;Panetone com Pamix
REC-0010;;EXCLUÍDA;Bolo de Rolo (Cascavel);
REC-0011;REC-0010;MANTIDA;Cajuzinho de Banana;Cajuzinho de Banana
REC-0012;REC-0011;MANTIDA;Queijadinha;Queijadinha
REC-0013;REC-0012;MANTIDA;Pudim de Laranja;Pudim de Laranja
REC-0014;REC-0013;ALTERADA;Bolacha de Sal Amoníaco — Variante 1;Bolacha de Sal Amoníaco
REC-0015;REC-0014;MANTIDA;Caramelo para Pudim;Caramelo para Pudim
REC-0016;REC-0015;MANTIDA;Creme de Laranja;Creme de Laranja
REC-0017;;EXCLUÍDA;Bolacha de Sal Amoníaco — Variante 2;
REC-0018;REC-0016;MANTIDA;Panetone — Receita Manuscrita;Panetone — Receita Manuscrita
REC-0019;;EXCLUÍDA;Pão Caseiro — Variante 1;
REC-0020;REC-0017;MANTIDA;Bolo de Maçã;Bolo de Maçã
REC-0021;REC-0018;MANTIDA;4 Leites Trufados;4 Leites Trufados
REC-0022;REC-0019;MANTIDA;Bolacha 5 Pontos;Bolacha 5 Pontos
REC-0023;;EXCLUÍDA;Bolacha de Sal Amoníaco — Variante 3;
REC-0024;REC-0020;MANTIDA;Bolo de Cenoura — Variante 1;Bolo de Cenoura — Variante 1
REC-0025;REC-0021;MANTIDA;Rosquinha;Rosquinha
REC-0026;REC-0022;MANTIDA;Bombocado de Assadeira;Bombocado de Assadeira
REC-0027;REC-0023;ALTERADA;Rosca Caseira;Fatias Húngaras / Rosca Estrela da Nicole
REC-0028;REC-0024;MANTIDA;Pastel;Pastel
REC-0029;REC-0025;MANTIDA;Bolacha de Nata — Variante 1;Bolacha de Nata — Variante 1
REC-0030;REC-0026;MANTIDA;Bolinho de Queijo;Bolinho de Queijo
REC-0031;REC-0027;MANTIDA;Bolacha de 02/02/2025;Bolacha de 02/02/2025
REC-0032;REC-0028;MANTIDA;Pudim — Receita Impressa;Pudim — Receita Impressa
REC-0033;REC-0029;MANTIDA;Bolo Tradicional de Aniversário;Bolo Tradicional de Aniversário
REC-0034;REC-0030;MANTIDA;Creme de Ameixa;Creme de Ameixa
REC-0035;REC-0031;MANTIDA;Quibe — Variante 1;Quibe — Variante 1
REC-0036;REC-0032;MANTIDA;Bolo de Pique-Nique;Bolo de Pique-Nique
REC-0037;REC-0033;MANTIDA;Doce de Abóbora;Doce de Abóbora
REC-0038;REC-0034;MANTIDA;Bolacha de Nata — Variante 2;Bolacha de Nata — Variante 2
REC-0039;REC-0035;MANTIDA;Mousse de Leite Ninho com Gelatina;Mousse de Leite Ninho com Gelatina
REC-0040;REC-0036;MANTIDA;Danone;Danone
REC-0041;REC-0037;ALTERADA;Bolo de Chocolate — Variante 1;Bolo de Chocolate da Isamara Amâncio
REC-0042;;EXCLUÍDA;Pão Caseiro — Variante 2;
REC-0043;REC-0038;MANTIDA;Brigadeiro de Paçoca;Brigadeiro de Paçoca
REC-0044;REC-0039;ALTERADA;Pizza Enrolada — Variante 1;Pizza Enrolada
REC-0045;REC-0040;MANTIDA;Molho de Pimenta;Molho de Pimenta
REC-0046;REC-0041;MANTIDA;Bolacha Palito;Bolacha Palito
REC-0047;REC-0042;MANTIDA;Pudim Gostoso;Pudim Gostoso
REC-0048;REC-0043;MANTIDA;Pão Doce;Pão Doce
REC-0049;;EXCLUÍDA;Bolo de Laranja — Variante 1;
REC-0050;REC-0044;MANTIDA;Brigadeiro de Alma Branca;Brigadeiro de Alma Branca
REC-0051;REC-0045;MANTIDA;Pudim de Maria Mole — Variante 1;Pudim de Maria Mole — Variante 1
REC-0052;REC-0046;MANTIDA;Bolo de Cenoura — Variante 2;Bolo de Cenoura — Variante 2
REC-0053;REC-0047;MANTIDA;Beijinho;Beijinho
REC-0054;REC-0048;MANTIDA;Bolo Brigadeiro;Bolo Brigadeiro
REC-0055;REC-0049;MANTIDA;Cocadinha;Cocadinha
REC-0056;REC-0050;MANTIDA;Biscoito Amanteigado;Biscoito Amanteigado
REC-0057;REC-0051;MANTIDA;Cobertura para Bolo — Variante 1;Cobertura para Bolo — Variante 1
REC-0058;REC-0052;MANTIDA;Gelatina (02/02/2023);Gelatina (02/02/2023)
REC-0059;REC-0053;MANTIDA;Creme Branco para Frutas;Creme Branco para Frutas
REC-0060;;EXCLUÍDA;Massa Pão de Ló — Variante 1;
REC-0061;REC-0054;MANTIDA;Cobertura para Bolo — Variante 2;Cobertura para Bolo — Variante 2
REC-0062;REC-0055;MANTIDA;Bolo de Fubá Cremoso;Bolo de Fubá Cremoso
REC-0063;REC-0056;MANTIDA;Biliscão;Biliscão
REC-0064;REC-0057;ALTERADA;Pudim de Leite em Pó — Variante 1;Pudim de Leite em Pó
REC-0065;REC-0058;MANTIDA;Pudim de Leite Condensado;Pudim de Leite Condensado
REC-0066;REC-0059;MANTIDA;Creme Firme para Bolo;Creme Firme para Bolo
REC-0067;REC-0060;MANTIDA;Recheio Creme 4 Leites;Recheio Creme 4 Leites
REC-0068;REC-0061;MANTIDA;Glacê de Leite Condensado;Glacê de Leite Condensado
REC-0069;REC-0062;MANTIDA;Cajuzinho;Cajuzinho
REC-0070;REC-0063;MANTIDA;Chantilly com Chocolate Branco;Chantilly com Chocolate Branco
REC-0071;REC-0064;MANTIDA;Brigadeiro de Leite;Brigadeiro de Leite
REC-0072;REC-0065;MANTIDA;Quibe — Variante 2;Quibe — Variante 2
REC-0073;REC-0066;MANTIDA;Creme de Milho;Creme de Milho
REC-0074;REC-0067;ALTERADA;Bolo de Chocolate — Variante 2;Bolo de Chocolate da Celina
